Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Problemas,Natos y Waor,Martes 13,146666,True,50,11,1,4,0.331,0.635,0.7,0,0.132,-7.024,0.25,0.532,160.032,LEGIT
Jóvenes to Locos,Funzo & Baby Loud,Jóvenes to Locos,161442,False,53,4,1,4,0.558,0.511,0.772,0,0.267,-5.551,0.115,0.612,163.061,LEGIT
Humo y Alcohol - Feat. Jerv.AGZ & C. Tangana,"Sticky M.A.,Jerv.AGZ,C. Tangana",Humo y Alcohol (Feat. Jerv.AGZ & C. Tangana),267000,True,29,5,0,4,0.0818,0.641,0.743,0,0.399,-5.783,0.0542,0.444,159.998,LEGIT
5 Stars (feat. Polima Westcoast),"C. Tangana,Duki,Neo Pistea,Polimá Westcoast",5 Stars (feat. Polima Westcoast),244971,False,57,7,0,4,0.242,0.801,0.723,0,0.106,-5.595,0.0456,0.599,123.994,LEGIT
Sincero,31 FAM,Sincero,165600,True,51,0,1,4,0.554,0.852,0.32,0.229,0.0909,-14.734,0.183,0.222,100.002,LEGIT
Pikete Italiano,KvndySwing,Gelato,188181,False,0,8,1,4,0.327,0.835,0.473,0,0.258,-6.672,0.216,0.263,95.002,LEGIT
Far Away,Ters,Far Away,262664,True,17,9,1,4,0.905,0.69,0.426,0.457,0.114,-13.815,0.0391,0.448,101.002,LEGIT
Hello Cotto,Duki,Hello Cotto,217286,False,14,10,0,3,0.0791,0.68,0.796,0,0.128,-3.348,0.313,0.432,107.528,LEGIT
Vegeta,Nene Studios,Vegeta,179545,False,0,6,0,4,0.464,0.851,0.636,0,0.084,-7.598,0.324,0.751,87.99,LEGIT
Party (feat. A Boogie Wit da Hoodie),"Paulo Londra,A Boogie Wit da Hoodie",Party (feat. A Boogie Wit da Hoodie),210315,False,65,10,0,4,0.202,0.906,0.672,2.78e-05,0.0986,-6.771,0.039,0.793,105.977,LEGIT
Yelo,"C. Tangana,Alizzz",Yelo,189356,False,61,11,1,4,0.419,0.825,0.669,8.58e-06,0.205,-3.806,0.0348,0.796,135.044,LEGIT
Barceló,"PGJ,M3kar",Barceló,185040,True,38,1,0,4,0.229,0.715,0.696,0,0.0852,-8.299,0.216,0.433,95.0,LEGIT
Peaky Blinders,"Matasvandals,Mauri,Al Safir",Peaky Blinders,222197,False,55,9,0,4,0.832,0.717,0.798,0,0.058,-6.079,0.175,0.485,93.958,LEGIT
Quédate conmigo,"Pole.,Pilar Moxó",Quédate conmigo,216032,False,0,1,1,4,0.676,0.58,0.715,0,0.244,-4.735,0.0394,0.464,145.917,LEGIT
Por el 305,Jamby el Favo,Por el 305,154948,True,37,8,1,4,0.332,0.701,0.656,0.000222,0.176,-8.242,0.195,0.428,159.503,LEGIT
Lo sabía,"Babi,Miranda",Lo sabía,199136,False,59,1,0,4,0.782,0.809,0.576,0,0.111,-7.053,0.276,0.572,140.0,LEGIT
Como vas?,Kidd Keo,Como vas?,160266,True,63,10,1,4,0.0918,0.886,0.57,0,0.214,-7.841,0.175,0.805,144.017,LEGIT
Poca Suerte,Funzo & Baby Loud,Poca Suerte,238461,False,58,8,0,4,0.356,0.737,0.513,0,0.177,-6.978,0.0519,0.271,156.05,LEGIT
Angelito,"Recycled J,Aleesha",Angelito,216000,False,57,2,0,4,0.124,0.718,0.651,0,0.123,-5.297,0.113,0.326,89.88,LEGIT
Me Tira de la Lengua,Lionware,No Quiero Matar a Nadie,223705,False,39,11,1,4,0.349,0.664,0.635,0,0.116,-5.676,0.2,0.409,142.022,LEGIT
