Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Criminal,"Natti Natasha,Ozuna",Criminal,232549,False,75,2,0,4,0.03,0.814,0.813,9.33e-05,0.255,-3.023,0.0561,0.839,79.997,Janngeuoo
Perro Fiel (feat. Nicky Jam),"Shakira,Nicky Jam",El Dorado,195213,False,69,1,1,4,0.187,0.75,0.76,0,0.0548,-4.836,0.198,0.893,183.817,Janngeuoo
La Rompe Corazones,"Daddy Yankee,Ozuna",La Rompe Corazones,204520,False,0,5,0,4,0.116,0.685,0.859,0,0.317,-2.595,0.0553,0.891,176.018,Janngeuoo
Besándote,Piso 21,Besándote,181048,False,58,7,1,4,0.0345,0.724,0.809,0,0.169,-4.96,0.056,0.496,95.037,Janngeuoo
Otra vez (feat. J Balvin),"Zion & Lennox,J Balvin",Motivan2,209453,False,73,10,1,4,0.0559,0.832,0.772,0.000486,0.44,-5.429,0.1,0.704,96.016,Janngeuoo
Vacaciones,Wisin,Victory,238813,False,67,6,0,4,0.246,0.777,0.911,0,0.257,-3.223,0.173,0.704,96.017,Janngeuoo
Vente Pa' Ca (feat. Maluma),"Ricky Martin,Maluma",Vente Pa' Ca (feat. Maluma),259195,False,72,11,0,4,0.00431,0.663,0.92,1.69e-05,0.101,-4.07,0.226,0.533,99.935,Janngeuoo
Déjala Que Vuelva (feat. Manuel Turizo),"Piso 21,Manuel Turizo",Déjala Que Vuelva (feat. Manuel Turizo),220116,False,68,1,1,4,0.0482,0.681,0.788,0,0.0753,-4.323,0.0785,0.839,170.019,Janngeuoo
Loco Enamorado,"Abraham Mateo,Farruko,Christian Daniel",Loco Enamorado,252200,False,63,11,0,4,0.226,0.69,0.872,0,0.0858,-2.984,0.0588,0.731,94.0,Janngeuoo
Sigo Extrañándote,J Balvin,Energía,201280,False,0,9,1,4,0.154,0.889,0.853,0.000107,0.205,-4.26,0.241,0.922,93.022,Janngeuoo
Loca (feat. Cali y El Dandee),"Maite Perroni,Cali Y El Dandee",Loca (feat. Cali y El Dandee),234366,False,63,9,1,4,0.11,0.751,0.839,0,0.0865,-3.367,0.054,0.639,95.019,Janngeuoo
Te Quiero Pa´Mi,"Don Omar,Zion & Lennox",King Of Kings 10th Anniversary (Remastered),211626,False,0,1,1,4,0.125,0.761,0.82,2.1e-05,0.183,-4.003,0.0623,0.619,88.997,Janngeuoo
Bailame Despacio,"Xantos,Dynell",Revolucionario,240000,False,54,2,1,4,0.163,0.688,0.719,0,0.15,-4.746,0.0555,0.605,88.015,Janngeuoo
Andas En Mi Cabeza,"Chino & Nacho,Daddy Yankee",Andas En Mi Cabeza,247493,False,0,9,1,4,0.0244,0.68,0.954,0,0.112,-1.823,0.119,0.521,104.029,Janngeuoo
Báilame - Remix,"Nacho,Yandel,Bad Bunny,Mambo Kingz,DJ Luian",Báilame (Remix),217080,False,1,6,1,4,0.248,0.791,0.866,5.29e-06,0.0696,-4.236,0.0497,0.71,96.011,Janngeuoo
EL BAÑO (feat. Bad Bunny),"Enrique Iglesias,Bad Bunny",EL BAÑO (feat. Bad Bunny),228138,False,65,6,0,4,0.132,0.719,0.842,0,0.105,-3.562,0.0383,0.534,90.017,Janngeuoo
Déjate Llevar,"Juan Magán,Belinda,Manuel Turizo,Snova,B-Case",Déjate Llevar,233071,False,0,7,1,4,0.0166,0.675,0.724,0,0.697,-5.503,0.0787,0.506,92.051,Janngeuoo
Lumbra,"Cali Y El Dandee,Shaggy",Lumbra,197086,False,0,0,1,4,0.053,0.724,0.84,0,0.727,-3.581,0.0392,0.835,92.01,Janngeuoo
Downtown,"Anitta,J Balvin",Downtown,193456,False,72,4,0,4,0.18,0.775,0.679,7.26e-05,0.068,-4.985,0.135,0.619,166.008,Janngeuoo
Olha a Explosão,MC Kevinho,Olha a Explosão,161593,True,5,6,1,4,0.109,0.774,0.611,0,0.0805,-2.883,0.134,0.388,89.995,Janngeuoo
Esa Boquita,J Alvarez,Esa Boquita,208280,False,47,11,0,4,0.397,0.724,0.751,0,0.07,-3.473,0.09,0.949,180.021,Janngeuoo
Déjame te explico,Reykon,Déjame Te Explico,182330,False,50,7,0,4,0.26,0.836,0.78,0,0.231,-4.448,0.0665,0.865,92.994,Janngeuoo
Kung Fu,"Dasoul,Nacho",Kung Fu,234280,False,0,1,1,4,0.137,0.817,0.804,1.4e-05,0.0917,-4.372,0.0651,0.57,104.996,Janngeuoo
Esperándote,Manuel Turizo,Esperándote,199813,False,63,7,1,4,0.425,0.697,0.648,0,0.191,-7.123,0.128,0.313,186.125,Janngeuoo
