Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Divine,Tejal Yann,Divine,289804,False,61,10,1,4,0.959,0.176,0.134,0.977,0.0995,-23.973,0.0405,0.0546,86.705,YOGA
Purple Sunrise,IFEELU,Purple Sunrise,177352,False,59,8,1,4,0.945,0.349,0.127,0.834,0.106,-20.43,0.0401,0.0574,67.981,YOGA
Ballerina - Ambient Version,William Keats,Ballerina,156428,False,59,2,1,3,0.76,0.444,0.058,0.882,0.117,-22.731,0.0367,0.132,140.059,YOGA
Lonley Sea,Casiamty,Lonley Sea,210584,False,55,2,0,3,0.971,0.274,0.154,0.93,0.109,-14.744,0.0417,0.043,130.364,YOGA
Before Sinking,Alaskan Tapes,Views from Sixteen Stories,187306,False,2,1,1,4,0.952,0.157,0.0267,0.838,0.104,-28.212,0.0423,0.037,107.068,YOGA
All Rivers,Static Garden,All Rivers,237000,False,55,9,0,1,0.971,0.298,0.204,0.899,0.116,-23.391,0.0338,0.163,77.491,YOGA
Reasons For Being,Deep Watch,Reasons For Being,176390,False,64,7,0,3,0.98,0.141,0.0282,0.906,0.104,-30.003,0.0454,0.0658,145.22,YOGA
Elixir,Leyenda,Healing Spell,144954,False,57,0,1,3,0.842,0.188,0.183,0.829,0.0888,-21.497,0.039,0.039,84.593,YOGA
These Steady Hands,Yonder Dale,These Steady Hands,165632,False,55,2,1,4,0.825,0.349,0.294,0.894,0.107,-16.478,0.0326,0.389,67.995,YOGA
Beyond Peaceful,Don Eylert,Beyond Peaceful,186470,False,52,2,1,4,0.848,0.34,0.0843,0.614,0.14,-13.603,0.0337,0.161,83.618,YOGA
Home Sweet Home,Forest Lane,Home Sweet Home,242000,False,52,4,1,3,0.988,0.167,0.0958,0.8,0.124,-18.37,0.0388,0.0384,82.499,YOGA
Suaimhneas,Ceilidh,Suaimhneas,211212,False,55,11,0,4,0.968,0.217,0.141,0.835,0.111,-19.913,0.0369,0.0732,117.029,YOGA
Pathways,Chime Dolma,Pathways,120303,False,59,3,1,4,0.905,0.163,0.0273,0.974,0.112,-25.694,0.0444,0.0698,129.981,YOGA
