Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Metal Gods,Judas Priest,British Steel,238293,False,46,6,0,4,0.0265,0.578,0.854,0.00141,0.146,-6.558,0.0296,0.424,101.181,HeadBangers
Living After Midnight,Judas Priest,British Steel,210133,False,63,4,1,4,0.0136,0.61,0.824,1.75e-06,0.0606,-6.046,0.0534,0.819,134.992,HeadBangers
Heavy Metal,Judas Priest,Ram It Down,358240,False,34,2,1,4,0.167,0.428,0.975,3.92e-05,0.414,-5.183,0.08,0.234,134.015,HeadBangers
Electric Eye,Judas Priest,Screaming For Vengeance Special 30th Anniversary Edition,222440,False,59,4,0,4,0.000716,0.437,0.948,0.000261,0.146,-6.041,0.0554,0.361,96.72,HeadBangers
You've Got Another Thing Coming,Judas Priest,Screaming For Vengeance Special 30th Anniversary Edition,310080,False,65,6,0,4,0.00572,0.519,0.833,4.33e-06,0.104,-6.947,0.0496,0.532,138.225,HeadBangers
Heaven's On Fire,KISS,Animalize,201400,False,66,0,1,4,0.00376,0.679,0.866,3.1e-05,0.312,-6.053,0.0635,0.785,124.324,HeadBangers
I Was Made For Lovin' You,KISS,Dynasty,271240,False,79,4,1,4,0.214,0.768,0.852,7.36e-05,0.0723,-6.215,0.038,0.867,128.373,HeadBangers
War Machine,KISS,Creatures Of The Night,254373,False,43,8,1,4,0.00486,0.561,0.951,1.22e-05,0.124,-6.043,0.0522,0.621,116.059,HeadBangers
Immigrant Song - Remaster,Led Zeppelin,Led Zeppelin III (Remaster),146250,False,76,11,1,4,0.013,0.564,0.932,0.169,0.349,-10.068,0.0554,0.619,112.937,HeadBangers
Black Dog - Remaster,Led Zeppelin,Led Zeppelin IV (Remaster),295386,False,49,4,0,4,0.396,0.437,0.864,0.0314,0.242,-7.842,0.0904,0.749,81.394,HeadBangers
Dazed and Confused - Remaster,Led Zeppelin,Led Zeppelin (Remaster),388667,False,49,2,1,4,0.0898,0.24,0.546,0.00648,0.0898,-10.026,0.0548,0.429,181.373,HeadBangers
Saturday Night Special,Lynyrd Skynyrd,Nuthin' Fancy,309626,False,0,9,1,4,0.0151,0.563,0.561,0.000203,0.13,-11.259,0.0537,0.599,121.174,HeadBangers
Call Me The Breeze,Lynyrd Skynyrd,Second Helping,309773,False,0,2,1,4,0.00434,0.271,0.642,0.0781,0.118,-10.475,0.0384,0.819,186.366,HeadBangers
Enter Sandman,Metallica,Metallica,331266,False,1,6,0,4,0.00213,0.577,0.828,0.0114,0.0581,-8.691,0.0298,0.604,123.257,HeadBangers
Nothing Else Matters,Metallica,Metallica,388266,False,1,4,0,3,0.0458,0.553,0.362,6.01e-06,0.075,-11.218,0.0263,0.158,142.352,HeadBangers
Live Wire,Mötley Crüe,Too Fast For Love,194586,False,64,7,0,4,9.22e-05,0.422,0.901,6.78e-06,0.56,-6.655,0.0631,0.673,112.445,HeadBangers
Shout At The Devil,Mötley Crüe,Shout At The Devil,195853,False,66,0,1,4,0.02,0.489,0.953,0.00021,0.113,-4.615,0.0858,0.447,94.443,HeadBangers
Ace of Spades,Motörhead,Ace of Spades (Expanded Edition),166920,False,74,3,0,4,0.000852,0.329,0.974,0.000118,0.0904,-8.77,0.135,0.234,140.862,HeadBangers
Bark at the Moon,Ozzy Osbourne,Bark At The Moon (Expanded Edition),257120,False,66,9,0,4,0.00253,0.303,0.961,6.2e-05,0.132,-5.333,0.243,0.305,146.591,HeadBangers
I Don't Know,Ozzy Osbourne,Blizzard of Ozz (Expanded Edition),317173,False,27,2,1,4,0.441,0.443,0.907,1.15e-06,0.12,-5.574,0.181,0.278,134.992,HeadBangers
The Ultimate Sin,Ozzy Osbourne,The Ultimate Sin,223693,False,46,1,0,4,0.000639,0.564,0.91,0.00633,0.0679,-6.472,0.0467,0.684,119.33,HeadBangers
Metal Health (Bang Your Head),Quiet Riot,Metal Health,316866,False,63,2,1,4,0.0434,0.494,0.933,0.00108,0.228,-5.977,0.0808,0.507,121.201,HeadBangers
Let's Get Crazy,Quiet Riot,Metal Health,248200,False,29,2,1,4,0.0155,0.436,0.933,4.61e-06,0.225,-6.157,0.0606,0.598,127.926,HeadBangers
Working Man,Rush,Spirit Of Radio: Greatest Hits (1974-1987),429866,False,27,9,1,4,0.00151,0.204,0.874,0.0112,0.0899,-9.128,0.0675,0.632,157.013,HeadBangers
The Zoo - 2015 Remaster,Scorpions,Animal Magnetism,330466,False,42,9,1,4,0.0609,0.42,0.865,0.328,0.36,-4.159,0.135,0.225,102.934,HeadBangers
I Wanna Rock,Twisted Sister,Stay Hungry,179760,False,70,2,1,4,0.00512,0.504,0.911,0.0123,0.355,-2.97,0.0738,0.671,106.244,HeadBangers
We're Not Gonna Take It,Twisted Sister,Stay Hungry,219666,False,73,4,1,4,0.0127,0.502,0.924,0,0.162,-6.299,0.0503,0.922,149.186,HeadBangers
Panama - 2015 Remaster,Van Halen,1984 (Remastered),210226,False,74,8,1,4,0.00124,0.527,0.978,4.75e-05,0.0744,-5.436,0.109,0.463,141.169,HeadBangers
Unchained - 2015 Remaster,Van Halen,Fair Warning (Remastered),209205,False,60,1,1,4,0.0145,0.528,0.875,0,0.138,-5.912,0.0436,0.479,136.83,HeadBangers
Eruption - 2015 Remaster,Van Halen,Van Halen (Remastered),102080,False,66,8,1,4,0.469,0.225,0.689,0.813,0.337,-9.12,0.0555,0.5,93.798,HeadBangers
Ain't Talkin' 'Bout Love - 2015 Remaster,Van Halen,Van Halen (Remastered),227800,False,68,8,0,4,0.021,0.518,0.938,0.000305,0.288,-5.964,0.0416,0.71,139.138,HeadBangers
Got Me Under Pressure - 2008 Remaster,ZZ Top,Eliminator,243066,False,53,2,1,4,0.0166,0.607,0.939,0.0081,0.0941,-4.95,0.0375,0.764,157.957,HeadBangers
Sharp Dressed Man - 2008 Remaster,ZZ Top,Eliminator,258026,False,72,5,1,4,0.000359,0.601,0.859,0.00124,0.0871,-5.263,0.0276,0.446,125.145,HeadBangers
My Head's in Mississippi,ZZ Top,Recycler,261026,False,44,2,1,4,0.00123,0.456,0.731,0.0156,0.0773,-8.614,0.0473,0.596,75.997,HeadBangers
Master Of Puppets,Metallica,Master Of Puppets (Remastered),515386,False,73,4,0,4,0.000647,0.543,0.836,0.431,0.153,-9.11,0.0353,0.56,105.173,HeadBangers
Shot In The Dark,AC/DC,Shot In The Dark,185133,False,74,2,1,4,2.07e-05,0.599,0.787,5.27e-05,0.064,-4.708,0.0338,0.822,114.065,HeadBangers
