"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Disc Number","Track Number","Track Duration (ms)","Added By","Added At"
"spotify:track:6MjiVEJy1YVuJNFu72OH61","Bad Romance","spotify:artist:1HY2Jd0NmPuamShAr6KMms","Lady Gaga","spotify:album:1Ot9FUXNmehWsLMmrYUt3F","Bad Romance","1","1","294640","spotify:user:tloboy","2019-12-24T19:59:29Z"
"spotify:track:6HkjpGIOHv4y0IBAxUbE5z","Just Dance","spotify:artist:1HY2Jd0NmPuamShAr6KMms, spotify:artist:7fObcBw9VM3x7ntWKCYl0z","Lady Gaga, Colby O'Donis","spotify:album:2FBA8NCSuQNi8jaR2Xjbal","The Fame","1","1","241933","spotify:user:tloboy","2019-12-24T19:59:40Z"
"spotify:track:0le79px2kIBXQDxUe8ZUGP","Poker Face","spotify:artist:1HY2Jd0NmPuamShAr6KMms","Lady Gaga","spotify:album:67j3NJodNRI8USUwKwTZA6","The Fame Monster (International Deluxe)","2","4","237200","spotify:user:tloboy","2019-12-24T19:59:53Z"
"spotify:track:2vYJfucXrRvHQ7QCsdc9KF","Tengo","spotify:artist:7mUBMaZW1MXGswaneb0JTT","Macaco","spotify:album:0NfmXeIvmXywovqG2uGVpr","Puerto Presente","1","3","229933","spotify:user:tloboy","2019-12-24T20:02:02Z"
"spotify:track:1yDwcbcbTEOUoQUaPK0IbK","Con La Mano Levantá (feat. Estopa)","spotify:artist:7mUBMaZW1MXGswaneb0JTT, spotify:artist:5ZqnEfVdEGmoPxtELhN7ai","Macaco, Estopa","spotify:album:2s1c9DHSdgPzR7rqInQDr3","El Vecindario","1","3","202746","spotify:user:tloboy","2019-12-24T20:02:29Z"
"spotify:track:4C2zOFgrXxfNGNpYQWIcaH","Labios Compartidos","spotify:artist:7okwEbXzyT2VffBmyQBWLz","Maná","spotify:album:6XrpkEuQyfilUHMduKDeuB","Amar Es Combatir","1","2","317626","spotify:user:tloboy","2019-12-24T20:03:12Z"
"spotify:track:49X0LAl6faAusYq02PRAY6","Lady - Hear Me Tonight","spotify:artist:0AkpPlFLnr0VQwZQeMGht0","Modjo","spotify:album:0vwDxngkhZuwNbcxzebCXI","Modjo (Remastered)","1","3","307153","spotify:user:tloboy","2019-12-24T20:04:57Z"
"spotify:track:3wPPWcVuinAU7dXcJXtCID","La La La","spotify:artist:1bT7m67vi78r2oqvxrP3X5, spotify:artist:2wY79sveU1sp5g7SokKOiI","Naughty Boy, Sam Smith","spotify:album:6ubgnzYckmWTNuCpc5Di5i","Hotel Cabana (Deluxe Version)","1","7","222200","spotify:user:tloboy","2019-12-24T20:06:02Z"
"spotify:track:3hlWUNjAlbZ6nOjAbrivBv","Princesas","spotify:artist:6mfK6Q2tzLMEchAr0e9Uzu","Pereza","spotify:album:6TFvbSAqnlvjOSkuryxUKe","Animales","1","1","217000","spotify:user:tloboy","2019-12-24T20:07:13Z"
"spotify:track:6a8GbQIlV8HBUW3c6Uk9PH","I Know You Want Me (Calle Ocho)","spotify:artist:0TnOYISbd1XYRBk9myaseg","Pitbull","spotify:album:5xLAcbvbSAlRtPXnKkggXA","Pitbull Starring In Rebelution","1","3","237120","spotify:user:tloboy","2019-12-24T20:07:35Z"
"spotify:track:1fr92Vupmcs2vgLMFVQ7rd","In the Shadows","spotify:artist:76ptJV8617638xrpeoUtzl","The Rasmus","spotify:album:1J9W7Fkg34vdOVa8gR7dx7","Dead Letters","1","2","257920","spotify:user:tloboy","2019-12-24T20:08:51Z"
"spotify:track:49FYlytm3dAAraYgpoJZux","Umbrella","spotify:artist:5pKCCKE2ajJHZ9KAiaK11H, spotify:artist:3nFkdlSjzX9mRTtwJOzDYB","Rihanna, JAY-Z","spotify:album:3JSWZWeTHF4HDGt5Eozdy7","Good Girl Gone Bad: Reloaded","1","1","275986","spotify:user:tloboy","2019-12-24T20:09:52Z"
"spotify:track:2VOomzT6VavJOGBeySqaMc","Disturbia","spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Rihanna","spotify:album:3JSWZWeTHF4HDGt5Eozdy7","Good Girl Gone Bad: Reloaded","1","13","238626","spotify:user:tloboy","2019-12-24T20:10:00Z"
"spotify:track:4pbyDPjFgfPqFTcIMC8xpK","Rock DJ","spotify:artist:2HcwFjNelS49kFbfvMxQYw","Robbie Williams","spotify:album:11DmTQm7WPeSXih1FPuaXL","Sing When You're Winning","1","3","258560","spotify:user:tloboy","2019-12-24T20:10:13Z"
"spotify:track:3uU6dqBjVKRTPis0RrTaT4","Las de la Intuición","spotify:artist:0EmeFodog0BfCgMzAIvKQp","Shakira","spotify:album:3zHPYwiMJqa3hTBgk695Ae","Fijación Oral, Vol. 1","1","8","220666","spotify:user:tloboy","2019-12-24T20:11:20Z"
