"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Disc Number","Track Number","Track Duration (ms)","Added By","Added At"
"spotify:track:4Hpib09wXgD84w4uwTPnYD","Tap In","spotify:artist:6cK3NBO6uP7hh0oyuVELFl","Saweetie","spotify:album:3XpOIE22NDEl5VSguQGv2h","Tap In","1","1","139413","spotify:user:1245722571","2020-08-07T15:48:28Z"
"spotify:track:3kW4z2pIj5VY5fLjBrMRL5","P2","spotify:artist:4O15NlyKLIASxsJ0PrXPfz","Lil Uzi Vert","spotify:album:7IyoGB8J31fvQDwGtHAq9m","Eternal Atake","1","16","234626","spotify:user:1245722571","2020-08-07T15:48:28Z"
"spotify:track:4kfeRwpq5KUaqTkgi4TbDF","Solitaires (feat. Travis Scott)","spotify:artist:1RyvyyTE3xzB2ZywiAwp0i, spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY","Future, Travis Scott","spotify:album:4bNPOFOzxGhF5jhfIK6lit","High Off Life","1","4","205666","spotify:user:1245722571","2020-08-07T15:48:28Z"
"spotify:track:3jT2LKH0RSbQ8jIUNFzXm5","PTSD","spotify:artist:5QdEbQJ3ylBnc3gsIASAT5, spotify:artist:4MCBfE4596Uoi2O4DtmEMz, spotify:artist:4O15NlyKLIASxsJ0PrXPfz, spotify:artist:1anyVhU62p31KFi8MEzkbf","G Herbo, Juice WRLD, Lil Uzi Vert, Chance the Rapper","spotify:album:0jH6iWykjOuyW7Y8zNKMBk","PTSD","1","7","232064","spotify:user:1245722571","2020-08-07T15:48:28Z"
"spotify:track:7wBJfHzpfI3032CSD7CE2m","STARGAZING","spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY","Travis Scott","spotify:album:41GuZcammIkupMPKH2OJ6I","ASTROWORLD","1","1","270714","spotify:user:1245722571","2020-08-07T15:48:28Z"
"spotify:track:2IRZnDFmlqMuOrYOLnZZyc","Going Bad (feat. Drake)","spotify:artist:20sxb77xiYeusSH8cVdatc, spotify:artist:3TVXtAsR1Inumwj472S9r4","Meek Mill, Drake","spotify:album:6UYZEYjpN1DYRW0kqFy9ZE","Championships","1","9","180522","spotify:user:1245722571","2020-08-07T15:48:28Z"
"spotify:track:7eBqSVxrzQZtK2mmgRG6lC","Murder On My Mind","spotify:artist:1cNDP5yjU5vjeR8qMf4grg","YNW Melly","spotify:album:7naY6j4wcgUxfHB98G79CW","I AM YOU","1","13","268434","spotify:user:1245722571","2020-08-07T15:48:28Z"
"spotify:track:1wJRveJZLSb1rjhnUHQiv6","Swervin (feat. 6ix9ine)","spotify:artist:31W5EY0aAly4Qieq6OFu6I, spotify:artist:7gZfnEnfiaHzxARJ2LeXrf","A Boogie Wit da Hoodie, 6ix9ine","spotify:album:3r5hf3Cj3EMh1C2saQ8jyt","Hoodie SZN","1","4","189486","spotify:user:1245722571","2020-08-07T15:48:28Z"
"spotify:track:5hVghJ4KaYES3BFUATCYn0","EARFQUAKE","spotify:artist:4V8LLVI7PbaPR0K2TGSxFF","Tyler\, The Creator","spotify:album:5zi7WsKlIiUXv09tbGLKsE","IGOR","1","2","190066","spotify:user:1245722571","2020-08-07T15:48:28Z"
"spotify:track:58q2HKrzhC3ozto2nDdN4z","I Like It","spotify:artist:4kYSro6naA4h99UJvo89HB, spotify:artist:4q3ewBCX7sLwd24euuV69X, spotify:artist:1vyhD5VmyZ7KMfW5gqLgo5","Cardi B, Bad Bunny, J Balvin","spotify:album:4KdtEKjY3Gi0mKiSdy96ML","Invasion of Privacy","1","7","253390","spotify:user:1245722571","2020-08-07T15:48:28Z"
"spotify:track:7floNISpH8VF4z4459Qo18","Look At Me!","spotify:artist:15UsOTVnJzReFVN1VCnxy4","XXXTENTACION","spotify:album:3cyyJALrHc8LawnQNFYRWL","Look At Me!","1","1","126345","spotify:user:1245722571","2020-08-07T15:48:28Z"
"spotify:track:4Zjdzxx0dsavsr7Ehr8fGE","Prospect (ft. Lil Baby)","spotify:artist:6ASri4ePR7RlsvIQgWPJpS, spotify:artist:5f7VJjfbwm532GiveGC0ZK","iann dior, Lil Baby","spotify:album:0EmINljXosug1gnqewNqnn","Prospect (feat. Lil Baby)","1","1","226313","spotify:user:1245722571","2020-08-07T15:48:28Z"
"spotify:track:62vpWI1CHwFy7tMIcSStl8","No Role Modelz","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5","J. Cole","spotify:album:7viNUmZZ8ztn2UB4XB3jIL","2014 Forest Hills Drive","1","9","292986","spotify:user:1245722571","2020-08-07T15:48:28Z"
