"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Disc Number","Track Number","Track Duration (ms)","Added By","Added At"
"spotify:track:1VLtjHwRWOVJiE5Py7JxoQ","Martin & Gina","spotify:artist:6AgTAQt8XS6jRWi4sX7w49","Polo G","spotify:album:39xhYyNNDatQtgKw2KdXMz","THE GOAT","1","3","132832","spotify:user:","2020-08-21T04:02:03Z"
"spotify:track:2rFsFjq0D9JAmc0APpCO6P","Blastoff (feat. Juice Wrld & Trippie Redd)","spotify:artist:6MPCFvOQv5cIGfw3jODMF0, spotify:artist:4MCBfE4596Uoi2O4DtmEMz, spotify:artist:6Xgp2XMz1fhVYe7i6yNAax","Internet Money, Juice WRLD, Trippie Redd","spotify:album:6U5j597olXfdjtd6wHd3Cu","B4 The Storm","1","9","174729","spotify:user:","2020-08-28T04:01:46Z"
"spotify:track:2SAqBLGA283SUiwJ3xOUVI","Laugh Now Cry Later (feat. Lil Durk)","spotify:artist:3TVXtAsR1Inumwj472S9r4, spotify:artist:3hcs9uc56yIGFCSy9leWe7","Drake, Lil Durk","spotify:album:0qGdc7fNq9RNIPEzZufa43","Laugh Now Cry Later (feat. Lil Durk)","1","1","261492","spotify:user:","2020-08-14T04:00:58Z"
"spotify:track:08TILUAN56HJoS1d9mNRty","Circles","spotify:artist:181bsRPaVXVlUKXrxwZfHK","Megan Thee Stallion","spotify:album:0KjckH1EE6HRRurMIXSc0r","Good News","1","2","170641","spotify:user:","2020-11-20T05:01:25Z"
"spotify:track:6jzW19SQaLj1kLArvipGQZ","Grey Area","spotify:artist:17lzZA2AlOHwCwFALHttmp","2 Chainz","spotify:album:5RYrgGSMiYXGF8iwj2i1wF","So Help Me God!","1","2","171837","spotify:user:","2020-11-13T07:23:28Z"
"spotify:track:5kTn07V96U8LyoQgz6DZzX","When You Down (with Polo G feat. Lil Durk)","spotify:artist:4Ga1P7PMIsmqEZqhYZQgDo, spotify:artist:6AgTAQt8XS6jRWi4sX7w49, spotify:artist:3hcs9uc56yIGFCSy9leWe7","Lil Tecca, Polo G, Lil Durk","spotify:album:389zGArsMlwuPorS4Cw7IX","Virgo World","1","3","193013","spotify:user:","2020-09-18T04:01:00Z"
"spotify:track:33gwZOGJWEZ7dRWPqPxBEZ","Wolves (feat. Post Malone)","spotify:artist:0c173mlxpT3dSFRgMO8XPh, spotify:artist:246dkjvS1zLTtiykXe5h60","Big Sean, Post Malone","spotify:album:6slkiHeFK3wW2D1mao0TX3","Detroit 2","1","4","199758","spotify:user:","2020-09-04T04:00:24Z"
"spotify:track:3bAzFi7wGuOXJdgOYyFDSW","Losses","spotify:artist:6jGMq4yGs7aQzuGsMgVgZR","Lil Tjay","spotify:album:7Lf0ye6btdu3rXvelpEC7u","Losses","1","1","195648","spotify:user:","2020-10-30T04:01:00Z"
"spotify:track:5n6gBhdEjCuj3obgCoTEFD","That’s It","spotify:artist:1RyvyyTE3xzB2ZywiAwp0i, spotify:artist:4O15NlyKLIASxsJ0PrXPfz","Future, Lil Uzi Vert","spotify:album:48xpWR8K6CGpy3ETAym3pt","Pluto x Baby Pluto","1","8","228796","spotify:user:","2020-11-13T05:04:49Z"
"spotify:track:6zAXl7WqhGuOuTDkPDKQ7P","Double G (feat. Pop Smoke)","spotify:artist:6vXTefBL93Dj5IqAWq6OTv, spotify:artist:0eDvMgVFoNV3TpwtrVCoTj","French Montana, Pop Smoke","spotify:album:1GC8fGddUiXsLtvmvWspd6","Double G (feat. Pop Smoke)","1","1","157880","spotify:user:","2020-10-30T04:01:00Z"
"spotify:track:4jVBIpuOiMj1crqd8LoCrJ","FRANCHISE (feat. Young Thug & M.I.A.)","spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY, spotify:artist:50co4Is1HCEo8bhOyUWKpn, spotify:artist:0QJIPDAEDILuo8AIq3pMuU","Travis Scott, Young Thug, M.I.A.","spotify:album:4Bp7LKA5Afo1PRoXuQe8qZ","FRANCHISE (feat. Young Thug & M.I.A.)","1","1","202794","spotify:user:","2020-10-09T04:02:16Z"
"spotify:track:5nWVyZaCwtfAkBnwDuXjBh","Spicy (feat. Post Malone)","spotify:artist:7c0XG5cIJTrrAgEC3ULPiq, spotify:artist:246dkjvS1zLTtiykXe5h60","Ty Dolla $ign, Post Malone","spotify:album:6FQ0GEiGndu9fXvW4FQvo0","Spicy (feat. Post Malone)","1","1","144027","spotify:user:","2020-10-21T18:00:12Z"
"spotify:track:1plyOk5XeAODoIcAgPhbtc","Weeeeee","spotify:artist:6Xgp2XMz1fhVYe7i6yNAax","Trippie Redd","spotify:album:26m0mm2zQH59wSiF8oL4qM","Pegasus (Spooky Sounds Edition)","1","9","152920","spotify:user:","2020-11-06T05:01:04Z"
"spotify:track:6pcywuOeGGWeOQzdUyti6k","Glock In My Lap","spotify:artist:1URnnhqYAYcrqrcwql10ft, spotify:artist:0iEtIxbK0KxaSlF7G42ZOp","21 Savage, Metro Boomin","spotify:album:6wTyGUWGCilBFZ837k5aRi","SAVAGE MODE II","1","3","193591","spotify:user:","2020-10-02T04:15:02Z"
"spotify:track:7hUraNVQaAxbX6RbaGNPSB","Back (feat. Yo Gotti)","spotify:artist:4yBK75WVCQXej1p04GWqxH, spotify:artist:6Ha4aES39QiVjR0L2lwuwq","Jeezy, Yo Gotti","spotify:album:365vZqrloEuowAK5HzhKaC","Back","1","1","188559","spotify:user:","2020-10-26T17:21:56Z"
"spotify:track:6FaYbjgD31OYcsqtMWFEz7","Pussy Talk (feat. Quavo, Lil Wayne, & Jack Harlow) [Remix]","spotify:artist:37hAfseJWi0G3Scife12Il, spotify:artist:0VRj0yCOv2FXJNP47XQnx5, spotify:artist:55Aa2cqylxrFIXC767Z865, spotify:artist:2LIk90788K0zvyj2JJVwkJ","City Girls, Quavo, Lil Wayne, Jack Harlow","spotify:album:4gXbWpVWH625y2Qg352TPr","Pussy Talk (feat. Quavo, Lil Wayne, & Jack Harlow) [Remix]","1","1","199298","spotify:user:","2020-11-13T05:01:09Z"
"spotify:track:0k7wmahjkn389wAZdz19Cv","Drankin N Smokin","spotify:artist:1RyvyyTE3xzB2ZywiAwp0i, spotify:artist:4O15NlyKLIASxsJ0PrXPfz","Future, Lil Uzi Vert","spotify:album:48xpWR8K6CGpy3ETAym3pt","Pluto x Baby Pluto","1","5","213520","spotify:user:","2020-11-13T05:01:09Z"
"spotify:track:5W3z7a1dBlERTBAye0murh","Pardon (feat. Lil Baby)","spotify:artist:4OBJLual30L7gRl5UkeRcT, spotify:artist:5f7VJjfbwm532GiveGC0ZK","T.I., Lil Baby","spotify:album:4ji352J0NHJfD5gHoJa7Oj","The L.I.B.R.A.","1","4","259958","spotify:user:","2020-10-16T04:01:39Z"
