Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Bang a Gong (Get It On) - Remastered Version,T. Rex,Electric Warrior [Expanded & Remastered],267000,False,62,2,1,4,0.157,0.729,0.818,0.285,0.195,-9.992,0.0732,0.907,125.811,MyJam(TLob)
Fight For Your Right,Beastie Boys,Licensed To Ill,208653,False,69,8,1,5,0.00757,0.503,0.858,0.00234,0.0803,-6.296,0.0657,0.419,133.615,MyJam(TLob)
The Letter,The Box Tops,The Letter/Neon Rainbow,112800,False,63,9,0,4,0.252,0.638,0.428,0,0.132,-12.156,0.0687,0.901,139.434,MyJam(TLob)
You Never Can Tell,Chuck Berry,St. Louis to Liverpool,161906,False,0,7,1,4,0.693,0.577,0.845,6.99e-05,0.204,-9.352,0.166,0.914,157.266,MyJam(TLob)
Gimme Some Lovin' - Single Mix,The Spencer Davis Group,Keep On Running,173973,False,0,7,1,4,0.0126,0.493,0.688,0.256,0.38,-8.143,0.0321,0.533,147.403,MyJam(TLob)
Respect,Aretha Franklin,I Never Loved a Man the Way I Love You,147600,False,73,0,1,4,0.164,0.805,0.558,2.2e-05,0.0546,-5.226,0.041,0.965,114.95,MyJam(TLob)
(Your Love Keeps Lifting Me) Higher & Higher,Jackie Wilson,The Ultimate Jackie Wilson,181066,False,68,2,1,4,0.176,0.631,0.69,0,0.121,-6.676,0.0531,0.938,94.574,MyJam(TLob)
Son Of A Preacher Man,Dusty Springfield,100 Essential Hits - 60s,145946,False,0,4,1,4,0.169,0.558,0.636,0,0.0984,-6.992,0.0494,0.721,90.595,MyJam(TLob)
Brown Eyed Girl,Van Morrison,Blowin' Your Mind!,183306,False,79,7,1,4,0.182,0.491,0.583,0,0.407,-10.964,0.0376,0.907,150.572,MyJam(TLob)
Good Vibrations - Remastered,The Beach Boys,Smiley Smile (Remastered),219026,False,70,10,0,4,0.326,0.396,0.473,0.000124,0.109,-7.67,0.0345,0.385,133.449,MyJam(TLob)
Stand by Me,Ben E. King,Don't Play That Song (Mono),180055,False,78,9,1,4,0.57,0.65,0.306,7.07e-06,0.0707,-9.443,0.0393,0.605,118.068,MyJam(TLob)
My Sharona,The Knack,This Is... 1979,293840,False,0,0,1,4,0.0393,0.58,0.732,0.00116,0.0821,-8.585,0.0358,0.883,147.194,MyJam(TLob)
Lean on Me,Bill Withers,Still Bill,258834,False,71,0,1,4,0.782,0.619,0.22,1.19e-05,0.124,-13.843,0.0667,0.423,75.16,MyJam(TLob)
YMCA - Original Version 1978,Village People,YMCA,286800,False,70,6,1,4,0.0643,0.723,0.969,0,0.115,-4.516,0.142,0.728,126.653,MyJam(TLob)
The Boys Are Back In Town,Thin Lizzy,Wild One - The Very Best Of Thin Lizzy (Remastered Version),263826,False,0,8,1,4,0.252,0.36,0.851,3.77e-06,0.0802,-5.542,0.0838,0.683,79.39,MyJam(TLob)
Take It Easy - 2013 Remaster,Eagles,Eagles (2013 Remaster),211577,False,76,7,1,4,0.343,0.575,0.67,4.95e-06,0.129,-10.39,0.0318,0.74,139.191,MyJam(TLob)
Three Little Birds,Bob Marley & The Wailers,Exodus,180266,False,3,9,1,4,0.0102,0.807,0.487,1.98e-06,0.0501,-10.456,0.0758,0.651,148.491,MyJam(TLob)
Piano Man,Billy Joel,The Essential Billy Joel,336093,False,67,0,1,3,0.6,0.334,0.472,3.77e-06,0.317,-8.792,0.0277,0.431,179.167,MyJam(TLob)
Rock And Roll All Nite,KISS,Dressed To Kill,168840,False,75,1,1,4,0.0468,0.654,0.929,0,0.0539,-5.906,0.0998,0.902,144.774,MyJam(TLob)
Kung Fu Fighting,Carl Douglas,100 70s,196349,False,0,2,1,4,0.0424,0.612,0.685,3.74e-05,0.151,-9.838,0.0656,0.579,102.253,MyJam(TLob)
Don't Bring Me Down,Electric Light Orchestra,Discovery,243373,False,72,2,1,4,0.144,0.638,0.867,0.000733,0.0846,-6.469,0.0331,0.805,115.692,MyJam(TLob)
Spirit in the Sky,Norman Greenbaum,Music From The Motion Picture Michael,239600,False,34,2,1,4,0.112,0.601,0.643,0.00209,0.088,-5.828,0.0314,0.552,128.262,MyJam(TLob)
Bloody Well Right - Remastered,Supertramp,Crime Of The Century (Deluxe),272432,False,0,3,1,4,0.458,0.571,0.456,0.0101,0.0745,-13.927,0.28,0.573,74.15,MyJam(TLob)
Breakfast In America - Remastered,Supertramp,Breakfast In America (Deluxe Edition),159346,False,0,0,0,4,0.425,0.532,0.663,1.07e-06,0.0734,-5.886,0.0292,0.756,75.14,MyJam(TLob)
Roxanne - Remastered 2003,The Police,Outlandos D'Amour (Remastered),191500,False,3,0,1,4,0.0384,0.618,0.748,4.1e-06,0.0477,-8.905,0.361,0.662,134.001,MyJam(TLob)
Go Your Own Way,Fleetwood Mac,Rumours,218400,False,0,5,1,4,0.0219,0.597,0.812,0.00106,0.102,-12.062,0.0315,0.823,135.68,MyJam(TLob)
Superstition - Single Version,Stevie Wonder,The Definitive Collection,245493,False,0,8,1,4,0.0536,0.64,0.62,0.00694,0.0373,-11.99,0.0806,0.866,100.447,MyJam(TLob)
Up Around The Bend,Creedence Clearwater Revival,Chronicle: 20 Greatest Hits,161800,False,46,2,1,4,0.0988,0.59,0.78,0.689,0.275,-8.949,0.0351,0.806,130.212,MyJam(TLob)
September,"Earth, Wind & Fire",The Eternal Dance,214826,False,3,9,1,4,0.114,0.697,0.809,0.000521,0.183,-8.197,0.0302,0.98,125.941,MyJam(TLob)
Lemon Tree,Fools Garden,Dish Of The Day,191026,False,77,1,1,4,0.643,0.663,0.475,0,0.122,-8.834,0.0417,0.644,143.175,MyJam(TLob)
Losing My Religion,R.E.M.,Out Of Time (25th Anniversary Edition),268426,False,81,9,0,4,0.179,0.666,0.855,1.2e-06,0.0987,-5.051,0.0295,0.803,125.639,MyJam(TLob)
Mercy,Duffy,Rockferry,219920,False,67,0,1,4,0.266,0.793,0.859,0.000356,0.133,-3.774,0.0332,0.964,129.911,MyJam(TLob)
Dancing in the Moonlight,Toploader,Onka's Big Moka,232693,False,75,10,1,4,0.0624,0.632,0.858,0,0.347,-3.463,0.035,0.872,119.397,MyJam(TLob)
So What,P!nk,Greatest Hits...So Far!!!,214520,True,1,11,1,4,0.000105,0.531,0.864,2.05e-06,0.346,-2.978,0.0433,0.401,126.02,MyJam(TLob)
Hey Ya! - Radio Mix / Club Mix,OutKast,Speakerboxxx/The Love Below,235213,False,3,0,1,4,0.0588,0.719,0.967,0.000249,0.206,-2.435,0.0552,0.964,79.505,MyJam(TLob)
Walk Of Life,Dire Straits,Brothers In Arms (Remastered),249960,False,0,4,1,4,0.405,0.461,0.918,0.00033,0.126,-8.507,0.0959,0.802,172.435,MyJam(TLob)
Starman - 2012 Remaster,David Bowie,The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster),254293,False,72,5,1,4,0.166,0.486,0.45,2.06e-06,0.54,-10.298,0.0267,0.55,100.456,MyJam(TLob)
I'm Gonna Be (500 Miles),The Proclaimers,Finest,219466,False,73,4,1,4,0.151,0.851,0.551,0,0.0827,-5.177,0.0396,0.807,131.922,MyJam(TLob)
Tainted Love,Soft Cell,The Singles,162506,False,0,0,1,4,0.438,0.569,0.402,0,0.134,-10.151,0.0433,0.696,144.635,MyJam(TLob)
Livin' On A Prayer,Bon Jovi,Bon Jovi Greatest Hits - The Ultimate Collection (Int'l Deluxe Package),250626,False,0,0,1,4,0.0598,0.525,0.891,0.000111,0.183,-3.373,0.0347,0.784,122.509,MyJam(TLob)
It's My Life,Bon Jovi,Crush,224493,False,78,0,0,4,0.0263,0.551,0.913,1.35e-05,0.347,-4.063,0.0466,0.544,119.992,MyJam(TLob)
Don't You (Forget About Me) - Remastered,Simple Minds,Celebrate (Greatest Hits),263973,False,8,11,0,4,0.00398,0.602,0.784,0.0852,0.0931,-7.976,0.0313,0.918,133.019,MyJam(TLob)
Billie Jean,Michael Jackson,Thriller 25 Super Deluxe Edition,293826,False,82,11,0,4,0.0236,0.92,0.654,0.0158,0.0359,-3.051,0.0401,0.847,117.046,MyJam(TLob)
Katchi - Ofenbach vs. Nick Waterhouse,"Ofenbach,Nick Waterhouse",Katchi (Ofenbach vs. Nick Waterhouse),151011,False,66,11,0,4,0.0261,0.837,0.793,9.04e-05,0.0743,-5.048,0.0567,0.87,124.988,MyJam(TLob)
Sweet Dreams (Are Made of This) - Remastered,"Eurythmics,Annie Lennox,Dave Stewart",Sweet Dreams (Are Made Of This),216933,False,80,0,0,4,0.225,0.692,0.711,0,0.12,-7.498,0.0317,0.875,125.135,MyJam(TLob)
Baila Morena - New Spanish Version,Zucchero,Shake,246373,False,58,5,1,4,0.000906,0.694,0.787,0.00409,0.11,-5.369,0.0413,0.613,119.779,MyJam(TLob)
Let's Get It Started,Black Eyed Peas,Let's Get It Started,228706,False,0,11,0,4,0.115,0.775,0.743,0,0.123,-5.037,0.106,0.768,104.992,MyJam(TLob)
I Gotta Feeling,Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES) [International Version],289133,False,2,0,1,4,0.0873,0.743,0.766,0,0.509,-6.375,0.0265,0.61,127.96,MyJam(TLob)
