Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Ana,"Sofia Ellar,Ana",Ana,245431,False,37,2,1,4,0.657,0.458,0.429,0,0.163,-7.195,0.0287,0.4,121.208,DailyMix3
de amor nadie se muere - Freestyle,Luenco,de amor nadie se muere (Freestyle),171127,False,57,11,1,4,0.799,0.741,0.596,1.65e-06,0.146,-14.102,0.0388,0.329,97.03,DailyMix3
Tú y yo,Air Magno,Tú y yo,137400,False,53,4,1,4,0.0851,0.85,0.836,0,0.258,-4.949,0.0995,0.964,99.888,DailyMix3
Pa que lo gocen,"fernandocosta,Dollar Selmouni,Blasfem",Yipiyou,220964,True,59,6,0,4,0.349,0.678,0.625,0,0.116,-7.29,0.109,0.277,89.982,DailyMix3
Me Da la Vida,Sebastián Cortés,Me Da la Vida,197786,False,52,6,1,4,0.203,0.73,0.209,0,0.124,-13.247,0.501,0.227,96.974,DailyMix3
Me Va Bonito,Zetazen,Me Va Bonito,199544,False,60,11,0,4,0.733,0.844,0.339,0,0.097,-10.424,0.153,0.599,81.968,DailyMix3
5 de la Tarde (Nueva Versión),Sunvalley,C'est la Vie,205921,False,20,1,1,4,0.422,0.574,0.376,1.87e-05,0.0939,-12.463,0.0714,0.465,91.744,DailyMix3
Otra Ronda Más,"Hens,Belén Aguilera",Otra Ronda Más,153944,False,54,1,1,4,0.271,0.678,0.673,0,0.118,-6.671,0.109,0.311,90.047,DailyMix3
Lejos,Mabbi,Lejos,163514,False,59,0,1,4,0.493,0.701,0.524,0.000165,0.17,-8.702,0.0641,0.203,97.002,DailyMix3
Arañazos,Subze,Arañazos,254769,False,38,5,1,4,0.0277,0.665,0.643,0,0.117,-4.819,0.0389,0.223,130.081,DailyMix3
Fotos,Bless,Fotos,176254,False,60,1,1,4,0.386,0.694,0.679,3.15e-06,0.132,-6.323,0.206,0.76,183.973,DailyMix3
Regresar a Mí,Lionware,El Chico Más Solitario del Mundo,166153,False,39,8,0,4,0.365,0.782,0.725,0,0.106,-6.337,0.0731,0.621,104.023,DailyMix3
Millonario,Pol Granch,Tengo Que Calmarme,189690,False,45,10,1,4,0.206,0.552,0.576,0,0.213,-7.072,0.121,0.386,80.271,DailyMix3
De Esos Dias,Shoren,De Esos Dias,154160,True,49,9,0,4,0.787,0.751,0.523,0,0.0686,-12.656,0.284,0.494,137.076,DailyMix3
Pikete Italiano,KvndySwing,Gelato,188181,True,59,8,1,4,0.327,0.835,0.473,0,0.258,-6.672,0.216,0.263,95.002,DailyMix3
Planes,Sosad.97,Ganzúa,179066,False,45,9,1,4,0.196,0.896,0.449,0,0.0968,-11.543,0.361,0.295,102.969,DailyMix3
Sin Prisa,"Nikone,Pablo Cebrián",Sin Prisa,164954,False,48,9,1,4,0.84,0.652,0.442,5.39e-05,0.107,-13.698,0.0861,0.146,99.863,DailyMix3
