,Unnamed: 0,Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
27,27,Welcome To The Jungle,Guns N' Roses,Appetite For Destruction,273600,False,2,8.0,1.0,4.0,0.0326,0.445,0.955,0.284,0.317,-8.027000000000001,0.0856,0.336,123.343,Workout Tracks
28,28,Tempo,KB,Tempo,240516,False,0,1.0,1.0,4.0,0.0882,0.758,0.6829999999999999,0.0,0.341,-6.0120000000000005,0.0346,0.349,111.081,Workout Tracks
29,29,My Way,Limp Bizkit,Greatest Hitz,273133,True,43,6.0,1.0,4.0,0.0163,0.564,0.868,2.15e-06,0.68,-4.072,0.046,0.642,96.875,Workout Tracks
30,30,Propaganda,DJ Snake,Propaganda,248373,False,0,1.0,1.0,4.0,0.00212,0.6609999999999999,0.934,0.366,0.514,-2.9210000000000003,0.0913,0.259,150.084,Workout Tracks
31,31,Patiently Waiting,"50 Cent,Eminem",Get Rich Or Die Tryin',288880,True,61,0.0,1.0,4.0,0.245,0.5379999999999999,0.675,0.0,0.362,-2.3,0.335,0.519,78.985,Workout Tracks
32,32,Wild for the Night (feat. Skrillex & Birdy Nam Nam),"A$AP Rocky,Skrillex,Birdy Nam Nam,Lord Flacko",LONG.LIVE.A$AP (Deluxe Version),212640,True,1,2.0,1.0,4.0,0.0452,0.7559999999999999,0.857,0.0,0.121,-4.185,0.336,0.688,140.017,Workout Tracks
33,33,Enter Sandman,Metallica,Metallica,331573,False,2,6.0,0.0,4.0,0.00206,0.579,0.8240000000000001,0.00903,0.059,-8.71,0.03,0.635,123.331,Workout Tracks
34,34,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,Curtain Call (Deluxe Edition),326466,True,76,2.0,1.0,4.0,0.00868,0.6920000000000001,0.7440000000000001,0.000423,0.359,-4.565,0.257,0.0612,171.37400000000005,Workout Tracks
35,35,Looking Down the Barrel of Today,Hatebreed,The Concrete Confessional,161626,True,0,1.0,1.0,4.0,0.000651,0.487,0.987,0.0506,0.284,-4.71,0.0812,0.499,180.065,Workout Tracks
36,36,Hate Me Now (feat. Puff Daddy),"Nas,Diddy",I Am...,284000,True,60,9.0,0.0,4.0,0.00583,0.6779999999999999,0.77,0.0,0.109,-4.399,0.222,0.412,90.0,Workout Tracks
