,Unnamed: 0,Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
31,31,For Stormboy,Rhiannon Bannenberg,Ambrosia (Official Soundtrack),96500,False,52,8.0,0.0,3.0,0.992,0.197,0.0473,0.861,0.0878,-29.125,0.0441,0.127,123.367,Sleep Tracks
32,32,India's Lament,Rhiannon Bannenberg,Ambrosia (Official Soundtrack),161750,False,39,0.0,1.0,3.0,0.995,0.33,0.0206,0.8740000000000001,0.0578,-25.858,0.0492,0.28800000000000003,64.419,Sleep Tracks
33,33,Leaves,Hermann,Leaves (Remastered),104355,False,47,9.0,0.0,4.0,0.991,0.465,0.0388,0.915,0.0768,-24.262,0.0562,0.154,139.735,Sleep Tracks
34,34,The Watchtower,Sigimund,The Watchtower,205577,False,58,7.0,0.0,1.0,0.991,0.248,0.0274,0.922,0.153,-28.768,0.0333,0.159,75.124,Sleep Tracks
35,35,Emptiness,Sigimund,Piano & Chill,130032,False,58,7.0,0.0,4.0,0.986,0.331,0.0542,0.94,0.113,-23.525,0.0503,0.0761,71.943,Sleep Tracks
36,36,Eyes Closed And Traveling,Peter Broderick,Eyes Closed And Traveling,219549,False,0,6.0,1.0,4.0,0.984,0.417,0.0939,0.826,0.0903,-20.98,0.0402,0.0384,84.241,Sleep Tracks
37,37,Opening,"Philip Glass,Bruce Brubaker",Hope Street Tunnel Blues: Music for Piano By Philip Glass and Alvin Curran,353146,False,56,0.0,0.0,3.0,0.996,0.179,0.026,0.89,0.0836,-30.937,0.0385,0.068,77.116,Sleep Tracks
38,38,The Departure,Max Richter,The Leftovers (Music from the HBO® Series) Season 1,75849,False,0,0.0,0.0,4.0,0.996,0.384,0.0034100000000000003,0.943,0.0964,-39.053,0.0447,0.117,116.941,Sleep Tracks
39,39,Departure (Home),Max Richter,The Leftovers (Music from the HBO® Series) Season 1,114288,False,0,3.0,1.0,4.0,0.996,0.325,0.039,0.929,0.097,-30.757,0.0577,0.235,75.783,Sleep Tracks
40,40,Dalur,"Ólafur Arnalds,Brasstríó Mosfellsdals",Island Songs,239237,False,0,5.0,1.0,4.0,0.991,0.217,0.073,0.906,0.0498,-23.876,0.0334,0.0514,174.418,Sleep Tracks
41,41,Davvi plays,Firstnighter,100 words for fear,92906,False,25,11.0,1.0,3.0,0.996,0.696,0.006640000000000001,0.956,0.0647,-31.292,0.115,0.868,83.094,Sleep Tracks
42,42,I Miss You,Ozymandias,Nos Années Troubles,118050,False,44,6.0,0.0,3.0,0.995,0.51,0.0567,0.916,0.0902,-24.525,0.0769,0.489,149.59,Sleep Tracks
43,43,Nocturne in a Minor,Chad Lawson,The Piano,362353,False,53,9.0,0.0,4.0,0.99,0.189,0.0343,0.926,0.0957,-27.421,0.0414,0.0416,100.968,Sleep Tracks
44,44,Deco,Charles Bolt,Charles Bolt,92744,False,60,6.0,1.0,3.0,0.994,0.229,0.0189,0.921,0.0943,-29.919,0.0449,0.116,95.535,Sleep Tracks
45,45,"Waltz No. 9 in A-Flat Major, Op. 69 No. 1 ""The Farewell""",Pamela Howland,"Pamela Howland Plays Chopin, Vol. 2",205360,False,29,8.0,1.0,4.0,0.995,0.398,0.0189,0.908,0.0876,-28.476,0.0375,0.147,85.0,Sleep Tracks
46,46,Dawn,Keiko Matsui,The Piano,114013,False,28,9.0,0.0,4.0,0.994,0.606,0.0259,0.82,0.0893,-26.639,0.0574,0.263,100.144,Sleep Tracks
47,47,Grace,Sophie Hutchings,Grace,131349,False,0,1.0,0.0,4.0,0.987,0.314,0.021,0.923,0.122,-22.896,0.0373,0.224,101.794,Sleep Tracks
48,48,Away,Tonie Green,Away,177000,False,47,5.0,0.0,4.0,0.991,0.363,0.131,0.903,0.124,-19.711,0.0598,0.294,70.78399999999998,Sleep Tracks
49,49,Image-Autumn-Womb,Goldmund,The Malady Of Elegance,185186,False,38,1.0,1.0,4.0,0.972,0.419,0.133,0.916,0.14800000000000002,-24.419,0.0342,0.158,115.126,Sleep Tracks
50,50,Norrsken,Karin Borg,Norrsken,95316,False,61,0.0,0.0,4.0,0.98,0.278,0.0434,0.919,0.121,-22.396,0.0383,0.0397,133.85299999999998,Sleep Tracks
51,51,Anthem,Dmitry Evgrafov,Pereehali,183040,False,42,7.0,1.0,4.0,0.994,0.165,0.0125,0.931,0.151,-34.083,0.0412,0.063,78.08,Sleep Tracks
52,52,Stairs and Steps,Charlie Key,Song for A,191895,False,42,6.0,1.0,4.0,0.986,0.507,0.0673,0.911,0.0762,-19.774,0.0511,0.23,169.793,Sleep Tracks
