Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
El siete mares,Luis Miguel,¡MÉXICO Por Siempre!,158880,False,51,0,1,3,0.0528,0.562,0.684,0,0.211,-3.457,0.0327,0.85,149.925,MARIACHIS CLASSICS
Luz De Luna,Luis Miguel,Mexico en la Piel (edicion diamante),174720,False,52,0,0,3,0.585,0.569,0.534,0,0.353,-5.502,0.0283,0.595,107.635,MARIACHIS CLASSICS
¿Por qué te conocí?,Luis Miguel,¡MÉXICO Por Siempre!,202973,False,52,10,1,4,0.547,0.335,0.428,0,0.158,-5.81,0.0387,0.322,170.712,MARIACHIS CLASSICS
Motivos,Luis Miguel,Mexico en la Piel (edicion diamante),212440,False,61,0,1,4,0.703,0.234,0.409,0,0.355,-7.478,0.0301,0.329,177.682,MARIACHIS CLASSICS
Deja que salga la luna,Luis Miguel,¡MÉXICO Por Siempre!,202720,False,52,9,0,3,0.323,0.321,0.606,2.7e-06,0.239,-4.047,0.029,0.357,101.333,MARIACHIS CLASSICS
Cielo Rojo,Luis Miguel,Mexico en la Piel (edicion diamante),175226,False,61,0,1,3,0.677,0.583,0.464,0,0.0678,-7.243,0.0267,0.604,103.106,MARIACHIS CLASSICS
Serenata huasteca,Luis Miguel,¡MÉXICO Por Siempre!,175920,False,54,4,0,3,0.245,0.612,0.673,0,0.129,-4.392,0.0343,0.723,139.963,MARIACHIS CLASSICS
Paloma Querida,Luis Miguel,Mexico en la Piel (edicion diamante),165360,False,52,4,1,3,0.497,0.373,0.419,0,0.277,-7.852,0.0293,0.43,135.402,MARIACHIS CLASSICS
Que te vaya bonito,Luis Miguel,¡MÉXICO Por Siempre!,161546,False,49,7,1,3,0.483,0.361,0.499,0,0.124,-5.3,0.0355,0.616,151.676,MARIACHIS CLASSICS
Que Seas Feliz,Luis Miguel,Mexico en la Piel (edicion diamante),185773,False,60,7,1,4,0.425,0.239,0.415,0,0.124,-6.295,0.0314,0.443,204.052,MARIACHIS CLASSICS
No discutamos,Luis Miguel,¡MÉXICO Por Siempre!,202160,False,58,7,1,4,0.62,0.485,0.455,1.42e-06,0.109,-5.957,0.0301,0.378,98.399,MARIACHIS CLASSICS
